Year,No.,Title,Artist(s)
2006,19,SOS,Rihanna
2006,20,I Write Sins Not Tragedies,Panic! at the Disco
2006,21,Move Along,The All-American Rejects
2006,22,London Bridge,Fergie
2006,23,Dani California,Red Hot Chili Peppers
2006,24,Snap Yo Fingers,Lil Jon featuring E-40 and Sean Paul
2006,25,"Lean wit It, Rock wit It",Dem Franchize Boyz
2006,26,What Hurts the Most,Rascal Flatts
2006,27,How to Save a Life,The Fray
2006,28,Unfaithful,Rihanna
2006,29,Chasing Cars,Snow Patrol
2006,30,Lips of an Angel,Hinder
2006,31,Everytime We Touch,Cascada
2006,32,Ain't No Other Man,Christina Aguilera
2006,33,"Dance, Dance",Fall Out Boy
2006,34,Gold Digger,Kanye West featuring Jamie Foxx
2006,35,Money Maker,Ludacris featuring Pharrell
2006,36,Ms. New Booty,Bubba Sparxxx featuring Ying Yang Twins
2006,37,(When You Gonna) Give It Up to Me,Sean Paul featuring Keyshia Cole
2006,38,Photograph,Nickelback
2006,39,Because of You,Kelly Clarkson
2006,40,Stickwitu,Pussycat Dolls
2006,41,I'm 'n Luv (wit a Stripper),T-Pain featuring Mike Jones
2006,42,My Humps,The Black Eyed Peas
2006,43,Where'd You Go,Fort Minor featuring Holly Brook and Jonah Matranga
2006,44,Yo (Excuse Me Miss),Chris Brown
2006,45,Walk Away,Kelly Clarkson
2006,46,Laffy Taffy,D4L
2006,47,What You Know,T.I.
2006,48,Dirty Little Secret,The All-American Rejects
2006,49,Savin' Me,Nickelback
2006,50,Don't Forget About Us,Mariah Carey
2006,51,Sexy Love,Ne-Yo
2006,52,U and Dat,E-40 featuring T-Pain and Kandi Girl
2006,53,Far Away,Nickelback
2006,54,What's Left of Me,Nick Lachey
2006,55,So What,Field Mob featuring Ciara
2006,56,Do It to It,Cherish featuring Sean P
2006,57,Black Horse and the Cherry Tree,KT Tunstall
2006,58,There It Go (The Whistle Song),Juelz Santana
2006,59,Shoulder Lean,Young Dro featuring T.I.
2006,60,Unpredictable,Jamie Foxx featuring Ludacris
2006,61,My Love,Justin Timberlake featuring T.I.
2006,62,Shake That,Eminem featuring Nate Dogg
2006,63,Pullin' Me Back,Chingy featuring Tyrese
2006,64,Bossy,Kelis featuring Too Short
2006,65,Chain Hang Low,Jibbs
2006,66,Smack That,Akon featuring Eminem
2006,67,One Wish,Ray J
2006,68,"Sugar, We're Goin Down",Fall Out Boy
2006,69,Gimme That,Chris Brown featuring Lil Wayne
2006,70,I Know You See It,Yung Joc
2006,71,Who Says You Can't Go Home,Bon Jovi featuring Jennifer Nettles
2006,72,Too Little Too Late,JoJo
2006,73,Touch It,Busta Rhymes
2006,74,Rompe,Daddy Yankee
2006,75,Déjà Vu,Beyoncé featuring Jay-Z
2006,76,Life Is a Highway,Rascal Flatts
2006,77,Call Me When You're Sober,Evanescence
2006,78,"Jesus, Take the Wheel",Carrie Underwood
2006,79,Show Stopper,Danity Kane featuring Yung Joc
2006,80,Get Up,Ciara featuring Chamillionaire
2006,81,We Be Burnin',Sean Paul
2006,82,Hate Me,Blue October
2006,83,You and Me,Lifehouse
2006,84,Beep,Pussycat Dolls featuring will.i.am
2006,85,I Think They Like Me,"Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow"
2006,86,Say Goodbye,Chris Brown
2006,87,Waiting on the World to Change,John Mayer
2006,88,Soul Survivor,Young Jeezy featuring Akon
2006,89,Pump It,The Black Eyed Peas
2006,90,When I'm Gone,Eminem
2006,91,Hung Up,Madonna
2006,92,Stay Fly,Three 6 Mafia featuring Young Buck and 8Ball & MJG
2006,93,Love,Keyshia Cole
2006,94,When You're Mad,Ne-Yo
2006,95,Why You Wanna,T.I.
2006,96,Stupid Girls,Pink
2006,97,Feel Good Inc.,Gorillaz
2006,98,I'm Sprung,T-Pain
2006,99,Do I Make You Proud,Taylor Hicks
2006,100,For You I Will (Confidence),Teddy Geiger
2007,1,Irreplaceable,Beyoncé
2007,2,Umbrella,Rihanna featuring Jay-Z
2007,3,The Sweet Escape,Gwen Stefani featuring Akon
2007,4,Big Girls Don't Cry,Fergie
2007,5,Buy U a Drank (Shawty Snappin'),T-Pain featuring Yung Joc
2007,6,Before He Cheats,Carrie Underwood
2007,7,Hey There Delilah,Plain White T's
2007,8,I Wanna Love You,Akon featuring Snoop Dogg
2007,9,Say It Right,Nelly Furtado
2007,10,Glamorous,Fergie featuring Ludacris
2007,11,Don't Matter,Akon
2007,12,Girlfriend,Avril Lavigne
2007,13,Makes Me Wonder,Maroon 5
2007,14,Party Like a Rockstar,Shop Boyz
2007,15,Smack That,Akon featuring Eminem
2007,16,This Is Why I'm Hot,Mims
2007,17,It's Not Over,Daughtry
2007,18,The Way I Are,Timbaland featuring Keri Hilson
2007,19,Fergalicious,Fergie featuring will.i.am
2007,20,Crank That (Soulja Boy),Soulja Boy Tell 'Em
2007,21,Give It to Me,Timbaland featuring Nelly Furtado and Justin Timberlake
2007,22,What Goes Around... Comes Around,Justin Timberlake
2007,23,Cupid's Chokehold,Gym Class Heroes featuring Patrick Stump
2007,24,How to Save a Life,The Fray
2007,25,Home,Daughtry
2007,26,My Love,Justin Timberlake featuring T.I.
2007,27,Stronger,Kanye West
2007,28,We Fly High,Jim Jones
2007,29,U + Ur Hand,Pink
2007,30,Walk It Out,Unk
2007,31,Beautiful Girls,Sean Kingston
2007,32,"This Ain't a Scene, It's an Arms Race",Fall Out Boy
2007,33,Bartender,T-Pain featuring Akon
2007,34,"Pop, Lock & Drop It",Huey
2007,35,Runaway Love,Ludacris featuring Mary J. Blige
2007,36,Rockstar,Nickelback
2007,37,Thnks fr th Mmrs,Fall Out Boy
2007,38,What I've Done,Linkin Park
2007,39,Summer Love,Justin Timberlake
2007,40,You,Lloyd featuring Lil Wayne
2007,41,Wait for You,Elliott Yamin
2007,42,Last Night,Diddy featuring Keyshia Cole
2007,43,Make It Rain,Fat Joe featuring Lil Wayne
2007,44,Make Me Better,Fabolous featuring Ne-Yo
2007,45,Ice Box,Omarion featuring Timbaland
2007,46,Lips of an Angel,Hinder
2007,47,Waiting on the World to Change,John Mayer
2007,48,Lost Without U,Robin Thicke
2007,49,I'm a Flirt,R. Kelly featuring T.I. and T-Pain
2007,50,If Everyone Cared,Nickelback
2007,51,Get It Shawty,Lloyd
2007,52,Face Down,The Red Jumpsuit Apparatus
2007,53,The Way I Live,Baby Boy da Prince
2007,54,Shortie Like Mine,Bow Wow featuring Chris Brown and Johntá Austin
2007,55,It Ends Tonight,The All-American Rejects
2007,56,A Bay Bay,Hurricane Chris
2007,57,Because of You,Ne-Yo
2007,58,I Tried,Bone Thugs-n-Harmony featuring Akon
2007,59,Welcome to the Black Parade,My Chemical Romance
2007,60,Shawty,Plies featuring T-Pain
2007,61,Chasing Cars,Snow Patrol
2007,62,Beautiful Liar,Beyoncé and Shakira
2007,63,SexyBack,Justin Timberlake featuring Timbaland
2007,64,Keep Holding On,Avril Lavigne
2007,65,Let It Go,Keyshia Cole featuring Missy Elliott and Lil' Kim
2007,66,Apologize,Timbaland featuring OneRepublic
2007,67,Bubbly,Colbie Caillat
2007,68,Like a Boy,Ciara
2007,69,Who Knew,Pink
2007,70,Never Again,Kelly Clarkson
2007,71,Promise,Ciara
2007,72,Bed,J. Holiday
2007,73,Throw Some D's,Rich Boy featuring Polow da Don
2007,74,Rehab,Amy Winehouse
2007,75,Big Shit Poppin' (Do It),T.I.
2007,76,No One,Alicia Keys
2007,77,The Great Escape,Boys Like Girls
2007,78,2 Step,Unk
2007,79,Walk Away (Remember Me),Paula DeAnda featuring The D.E.Y.
2007,80,Go Getta,Young Jeezy featuring R. Kelly
2007,81,Here (In Your Arms),Hellogoodbye
2007,82,On the Hotline,Pretty Ricky
2007,83,Wind It Up,Gwen Stefani
2007,84,Cyclone,Baby Bash featuring T-Pain
2007,85,Break It Off,Rihanna featuring Sean Paul
2007,86,First Time,Lifehouse
2007,87,Ayo Technology,50 Cent featuring Justin Timberlake and Timbaland
2007,88,Outta My System,Bow Wow featuring T-Pain and Johntá Austin
2007,89,Teardrops on My Guitar,Taylor Swift
2007,90,Shut Up and Drive,Rihanna
2007,91,Snow (Hey Oh),Red Hot Chili Peppers
2007,92,Money Maker,Ludacris featuring Pharrell
2007,93,Kiss Kiss,Chris Brown featuring T-Pain
2007,94,Far Away,Nickelback
2007,95,Rock Yo Hips,Crime Mob and Lil' Scrappy
2007,96,LoveStoned,Justin Timberlake
2007,97,Better than Me,Hinder
2007,98,Paralyzer,Finger Eleven
2007,99,That's That,Snoop Dogg featuring R. Kelly
2007,100,Same Girl,R. Kelly featuring Usher
2008,1,Low,Flo Rida featuring T-Pain
2008,2,Bleeding Love,Leona Lewis
2008,3,No One,Alicia Keys
2008,4,Lollipop,Lil Wayne featuring Static Major
2008,5,Apologize,Timbaland featuring OneRepublic
2008,6,No Air,Jordin Sparks and Chris Brown
2008,7,Love Song,Sara Bareilles
2008,8,Love in This Club,Usher featuring Young Jeezy
2008,9,With You,Chris Brown
2008,10,Forever,Chris Brown
2008,11,Sexy Can I,Ray J featuring Yung Berg
2008,12,Take a Bow,Rihanna
2008,13,Viva la Vida,Coldplay
2008,14,I Kissed a Girl,Katy Perry
2008,15,Whatever You Like,T.I.
2008,16,Disturbia,Rihanna
2008,17,Don't Stop the Music,Rihanna
2008,18,Pocketful of Sunshine,Natasha Bedingfield
2008,19,Kiss Kiss,Chris Brown featuring T-Pain
2008,20,Closer,Ne-Yo
2008,21,Bubbly,Colbie Caillat
2008,22,Touch My Body,Mariah Carey
2008,23,4 Minutes,Madonna featuring Justin Timberlake and Timbaland
2008,24,So What,Pink
2008,25,Paralyzer,Finger Eleven
2008,26,Clumsy,Fergie
2008,27,I'm Yours,Jason Mraz
2008,28,Leavin',Jesse McCartney
2008,29,Dangerous,Kardinal Offishall featuring Akon
2008,30,Tattoo,Jordin Sparks
2008,31,See You Again,Miley Cyrus
2008,32,Shake It,Metro Station
2008,33,Stop and Stare,OneRepublic
2008,34,Take You There,Sean Kingston
2008,35,Paper Planes,M.I.A.
2008,36,Hot n Cold,Katy Perry
2008,37,Live Your Life,T.I. featuring Rihanna
2008,38,Bust It Baby (Part 2),Plies featuring Ne-Yo
2008,39,American Boy,Estelle featuring Kanye West
2008,40,Got Money,Lil Wayne featuring T-Pain
2008,41,Our Song,Taylor Swift
2008,42,Damaged,Danity Kane
2008,43,A Milli,Lil Wayne
2008,44,Sorry,Buckcherry
2008,45,Independent,Webbie featuring Lil Boosie and Lil Phat
2008,46,Can't Believe It,T-Pain featuring Lil Wayne
2008,47,Like You'll Never See Me Again,Alicia Keys
2008,48,Teardrops on My Guitar,Taylor Swift
2008,49,When I Grow Up,Pussycat Dolls
2008,50,Sexual Eruption,Snoop Dogg
2008,51,What You Got,Colby O'Donis featuring Akon
2008,52,It's Not My Time,3 Doors Down
2008,53,Better in Time,Leona Lewis
2008,54,Crank That (Soulja Boy),Soulja Boy Tell 'Em
2008,55,Shadow of the Day,Linkin Park
2008,56,Sweetest Girl (Dollar Bill),"Wyclef Jean featuring Akon, Lil Wayne and Niia"
2008,57,Miss Independent,Ne-Yo
2008,58,Fall for You,Secondhand Serenade
2008,59,In the Ayer,Flo Rida featuring will.i.am
2008,60,Say,John Mayer
2008,61,One Step at a Time,Jordin Sparks
2008,62,Hate That I Love You,Rihanna featuring Ne-Yo
2008,63,Superstar,Lupe Fiasco featuring Matthew Santos
2008,64,Suffocate,J. Holiday
2008,65,Let It Rock,Kevin Rudolf featuring Lil Wayne
2008,66,Get Like Me,David Banner featuring Chris Brown and Yung Joc
2008,67,Realize,Colbie Caillat
2008,68,Put On,Young Jeezy featuring Kanye West
2008,69,The Time of My Life,David Cook
2008,70,Lolli Lolli (Pop That Body),Three 6 Mafia
2008,71,Cyclone,Baby Bash featuring T-Pain
2008,72,Love Like This,Natasha Bedingfield featuring Sean Kingston
2008,73,Burnin' Up,Jonas Brothers featuring Big Rob
2008,74,Love Lockdown,Kanye West
2008,75,I Luv Your Girl,The-Dream
2008,76,Crush,David Archuleta
2008,77,Hypnotized,Plies featuring Akon
2008,78,Big Girls Don't Cry,Fergie
2008,79,Good Life,Kanye West featuring T-Pain
2008,80,Womanizer,Britney Spears
2008,81,Love Story,Taylor Swift
2008,82,Just Fine,Mary J. Blige
2008,83,Piece of Me,Britney Spears
2008,84,The Boss,Rick Ross featuring T-Pain
2008,85,All Summer Long,Kid Rock
2008,86,Can't Help but Wait,Trey Songz
2008,87,In Love with a Girl,Gavin DeGraw
2008,88,My Life,The Game featuring Lil Wayne
2008,89,I Remember,Keyshia Cole
2008,90,Flashing Lights,Kanye West featuring Dwele
2008,91,Mrs. Officer,Lil Wayne featuring Bobby Valentino and Kidd Kidd
2008,92,7 Things,Miley Cyrus
2008,93,You're Gonna Miss This,Trace Adkins
2008,94,Love Remains the Same,Gavin Rossdale
2008,95,Feels Like Tonight,Daughtry
2008,96,The Way I Are,Timbaland featuring Keri Hilson
2008,97,Addicted,Saving Abel
2008,98,Into the Night,Santana featuring Chad Kroeger
2008,99,Heaven Sent,Keyshia Cole
2008,100,She Got It,2 Pistols featuring T-Pain and Tay Dizm
2009,1,Boom Boom Pow,The Black Eyed Peas
2009,2,Poker Face,Lady Gaga
2009,3,Just Dance,Lady Gaga featuring Colby O'Donis
2009,4,I Gotta Feeling,The Black Eyed Peas
2009,5,Love Story,Taylor Swift
2009,6,Right Round,Flo Rida
2009,7,I'm Yours,Jason Mraz
2009,8,Single Ladies (Put a Ring on It),Beyoncé
2009,9,Heartless,Kanye West
2009,10,Gives You Hell,The All-American Rejects
2009,11,You Belong with Me,Taylor Swift
2009,12,Dead and Gone,T.I. featuring Justin Timberlake
2009,13,You Found Me,The Fray
2009,14,Use Somebody,Kings of Leon
2009,15,Knock You Down,Keri Hilson featuring Kanye West and Ne-Yo
2009,16,Blame It,Jamie Foxx featuring T-Pain
2009,17,I Know You Want Me (Calle Ocho),Pitbull
2009,18,Live Your Life,T.I. featuring Rihanna
2009,19,Kiss Me thru the Phone,Soulja Boy Tell 'Em featuring Sammie
2009,20,Down,Jay Sean featuring Lil Wayne
2009,21,The Climb,Miley Cyrus
2009,22,Best I Ever Had,Drake
2009,23,My Life Would Suck Without You,Kelly Clarkson
2009,24,Halo,Beyoncé
2009,25,Hot n Cold,Katy Perry
2009,26,Second Chance,Shinedown
2009,27,Circus,Britney Spears
2009,28,Day 'n' Nite,Kid Cudi
2009,29,Party in the U.S.A.,Miley Cyrus
2009,30,Don't Trust Me,3OH!3
2009,31,Run This Town,Jay-Z featuring Rihanna and Kanye West
2009,32,Let It Rock,Kevin Rudolf featuring Lil Wayne
2009,33,Fire Burning,Sean Kingston
2009,34,Whatcha Say,Jason Derulo
2009,35,LoveGame,Lady Gaga
2009,36,Waking Up in Vegas,Katy Perry
2009,37,Birthday Sex,Jeremih
2009,38,Sober,Pink
2009,39,Womanizer,Britney Spears
2009,40,Whatever You Like,T.I.
2009,41,Obsessed,Mariah Carey
2009,42,Mad,Ne-Yo
2009,43,Good Girls Go Bad,Cobra Starship featuring Leighton Meester
2009,44,Love Lockdown,Kanye West
2009,45,So What,Pink
2009,46,Hotel Room Service,Pitbull
2009,47,Crack a Bottle,"Eminem, Dr. Dre and 50 Cent"
2009,48,If I Were a Boy,Beyoncé
2009,49,Turnin Me On,Keri Hilson featuring Lil Wayne
2009,50,I Hate This Part,Pussycat Dolls
2009,51,Gotta Be Somebody,Nickelback
2009,52,Please Don't Leave Me,Pink
2009,53,Paparazzi,Lady Gaga
2009,54,Beautiful,Akon featuring Colby O'Donis and Kardinal Offishall
2009,55,Viva la Vida,Coldplay
2009,56,Right Now (Na Na Na),Akon
2009,57,Battlefield,Jordin Sparks
2009,58,Sugar,Flo Rida featuring Wynter Gordon
2009,59,Miss Independent,Ne-Yo
2009,60,Fireflies,Owl City
2009,61,New Divide,Linkin Park
2009,62,Empire State of Mind,Jay-Z featuring Alicia Keys
2009,63,No Surprise,Daughtry
2009,64,She Wolf,Shakira
2009,65,Break Up,Mario featuring Gucci Mane and Sean Garrett
2009,66,Sweet Dreams,Beyoncé
2009,67,Every Girl,Young Money
2009,68,Fallin' for You,Colbie Caillat
2009,69,Untouched,The Veronicas
2009,70,If Today Was Your Last Day,Nickelback
2009,71,Throw It in the Bag,Fabolous featuring The-Dream
2009,72,Love Drunk,Boys Like Girls
2009,73,I Love College,Asher Roth
2009,74,If U Seek Amy,Britney Spears
2009,75,Big Green Tractor,Jason Aldean
2009,76,White Horse,Taylor Swift
2009,77,Disturbia,Rihanna
2009,78,21 Guns,Green Day
2009,79,Turn My Swag On,Soulja Boy Tell 'Em
2009,80,Rockin' That Thang,The-Dream
2009,81,Chicken Fried,Zac Brown Band
2009,82,Diva,Beyoncé
2009,83,Replay,Iyaz
2009,84,Then,Brad Paisley
2009,85,Her Diamonds,Rob Thomas
2009,86,How Do You Sleep?,Jesse McCartney featuring Ludacris
2009,87,3,Britney Spears
2009,88,Forever,"Drake featuring Kanye West, Lil Wayne and Eminem"
2009,89,One Time,Justin Bieber
2009,90,I Run to You,Lady Antebellum
2009,91,I Do Not Hook Up,Kelly Clarkson
2009,92,Green Light,John Legend featuring André 3000
2009,93,People Are Crazy,Billy Currington
2009,94,Whatever It Is,Zac Brown Band
2009,95,Already Gone,Kelly Clarkson
2009,96,Goodbye,Kristinia DeBarge
2009,97,Say Hey (I Love You),Michael Franti & Spearhead featuring Cherine Anderson
2009,98,Pop Champagne,Jim Jones featuring Ron Browz and Juelz Santana
2009,99,Pretty Wings,Maxwell
2009,100,Never Say Never,The Fray
2010,1,Tik Tok,Kesha
2010,2,Need You Now,Lady Antebellum
2010,3,"Hey, Soul Sister",Train
2010,4,California Gurls,Katy Perry featuring Snoop Dogg
2010,5,OMG,Usher featuring will.i.am
2010,6,Airplanes,B.o.B featuring Hayley Williams
2010,7,Love the Way You Lie,Eminem featuring Rihanna
2010,8,Bad Romance,Lady Gaga
2010,9,Dynamite,Taio Cruz
2010,10,Break Your Heart,Taio Cruz featuring Ludacris
2010,11,Nothin' on You,B.o.B featuring Bruno Mars
2010,12,I Like It,Enrique Iglesias featuring Pitbull
2010,13,BedRock,Young Money featuring Lloyd
2010,14,In My Head,Jason Derulo
2010,15,Rude Boy,Rihanna
2010,16,Telephone,Lady Gaga featuring Beyoncé
2010,17,Teenage Dream,Katy Perry
2010,18,Just the Way You Are,Bruno Mars
2010,19,Cooler Than Me,Mike Posner
2010,20,Imma Be,The Black Eyed Peas
2010,21,Empire State of Mind,Jay-Z featuring Alicia Keys
2010,22,DJ Got Us Fallin' in Love,Usher featuring Pitbull
2010,23,Billionaire,Travie McCoy featuring Bruno Mars
2010,24,Not Afraid,Eminem
2010,25,Replay,Iyaz
2010,26,Sexy Bitch,David Guetta featuring Akon
2010,27,Breakeven,The Script
2010,28,Your Love Is My Drug,Kesha
2010,29,I Gotta Feeling,The Black Eyed Peas
2010,30,Fireflies,Owl City
2010,31,Say Aah,Trey Songz featuring Fabolous
2010,32,Find Your Love,Drake
2010,33,Alejandro,Lady Gaga
2010,34,Ridin' Solo,Jason Derulo
2010,35,Just a Dream,Nelly
2010,36,How Low,Ludacris
2010,37,Like a G6,Far East Movement featuring The Cataracs and Dev
2010,38,Carry Out,Timbaland featuring Justin Timberlake
2010,39,Haven't Met You Yet,Michael Bublé
2010,40,Club Can't Handle Me,Flo Rida featuring David Guetta
2010,41,Down,Jay Sean featuring Lil Wayne
2010,42,Bulletproof,La Roux
2010,43,Whatcha Say,Jason Derulo
2010,44,Baby,Justin Bieber featuring Ludacris
2010,45,Whataya Want from Me,Adam Lambert
2010,46,Mine,Taylor Swift
2010,47,Only Girl (In the World),Rihanna
2010,48,Live Like We're Dying,Kris Allen
2010,49,Hard,Rihanna featuring Jeezy
2010,50,Young Forever,Jay-Z featuring Mr Hudson
2010,51,Blah Blah Blah,Kesha featuring 3OH!3
2010,52,Bottoms Up,Trey Songz featuring Nicki Minaj
2010,53,Do You Remember,Jay Sean featuring Sean Paul and Lil Jon
2010,54,All the Right Moves,OneRepublic
2010,55,According to You,Orianthi
2010,56,My Chick Bad,Ludacris featuring Nicki Minaj
2010,57,You Belong with Me,Taylor Swift
2010,58,Meet Me Halfway,The Black Eyed Peas
2010,59,Take It Off,Kesha
2010,60,Over,Drake
2010,61,Animal,Neon Trees
2010,62,Misery,Maroon 5
2010,63,Magic,B.o.B featuring Rivers Cuomo
2010,64,Paparazzi,Lady Gaga
2010,65,Tie Me Down,New Boyz featuring Ray J
2010,66,Your Love,Nicki Minaj
2010,67,Party in the U.S.A.,Miley Cyrus
2010,68,Deuces,Chris Brown featuring Tyga and Kevin McCall
2010,69,3,Britney Spears
2010,70,Impossible,Shontelle
2010,71,Forever,"Drake featuring Kanye West, Lil Wayne and Eminem"
2010,72,Two Is Better Than One,Boys Like Girls featuring Taylor Swift
2010,73,My First Kiss,3OH!3 featuring Kesha
2010,74,Already Gone,Kelly Clarkson
2010,75,Rock That Body,The Black Eyed Peas
2010,76,Secrets,OneRepublic
2010,77,Naturally,Selena Gomez & the Scene
2010,78,Un-Thinkable (I'm Ready),Alicia Keys
2010,79,All I Do Is Win,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross"
2010,80,I Made It (Cash Money Heroes),"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne"
2010,81,Stuck Like Glue,Sugarland
2010,82,Hey Daddy (Daddy's Home),Usher featuring Plies
2010,83,There Goes My Baby,Usher
2010,84,Today Was a Fairytale,Taylor Swift
2010,85,Say Something,Timbaland featuring Drake
2010,86,Sweet Dreams,Beyoncé
2010,87,Use Somebody,Kings of Leon
2010,88,Undo It,Carrie Underwood
2010,89,Eenie Meenie,Sean Kingston and Justin Bieber
2010,90,Right Above It,Lil Wayne featuring Drake
2010,91,The House That Built Me,Miranda Lambert
2010,92,If I Die Young,The Band Perry
2010,93,The Only Exception,Paramore
2010,94,American Honey,Lady Antebellum
2010,95,King of Anything,Sara Bareilles
2010,96,Life After You,Daughtry
2010,97,Smile,Uncle Kracker
2010,98,Teach Me How to Dougie,Cali Swag District
2010,99,Try Sleeping with a Broken Heart,Alicia Keys
2010,100,"Lover, Lover",Jerrod Niemann
